time,x_pos,x_dot,theta,theta_dot,input_u
0.0,0.0,0.0,0.0,0.0,0.5
0.02,8.95862479637934e-05,0.0085676126216015,-0.0002690309540830373,-0.02575670842077295,0.37987798516309557
0.04,0.00032771330129434666,0.014887164521259866,-0.0009872882024738057,-0.045065811733106406,0.26930711982843974
0.06,0.0006714589212206608,0.01916499378291617,-0.0020343330144617913,-0.058774232175876046,0.16940202224915352
0.08,0.0010821466847366124,0.02161797470668794,-0.003306347623303762,-0.06769460018520396,0.08057172693259909
0.1,0.0015254781088519592,0.022465886158324955,-0.004715309208773466,-0.07259190570346248,0.002862497972818531
0.12,0.001971527154342092,0.021925290682274976,-0.006187937228283708,-0.07417412261034556,-0.06396825305183812
0.14,0.002394626053757221,0.020204761259553058,-0.0076644879401900675,-0.07308620888823891,-0.12038609347689724
0.16,0.002773167824133543,0.017501296650572106,-0.009097458084934795,-0.06990693424691118,-0.16702173083361177
0.18,0.0030893476679194117,0.013997769314585875,-0.010450249140256813,-0.06514802937955401,-0.204620999476523
0.2,0.003328862404143128,0.009861256240442807,-0.011695833909119716,-0.05925519739918195,-0.23400230961226343
0.22,0.0034805841630334918,0.005242111816686818,-0.012815458491461085,-0.052610576331023354,-0.2560210832796856
0.24,0.003536221862694834,0.0002736523840221206,-0.013797404955570138,-0.04553629019358748,-0.2715406245852214
0.26,0.0034899814940832366,-0.004927666271247785,-0.014635833255027672,-0.038298773896422236,-0.28140882415037116
0.28,0.0033382339870794576,-0.010261685028077146,-0.01532971510299811,-0.031113602915847065,-0.286440075278566
0.3,0.003079197423099309,-0.015643685341421645,-0.015881867570170228,-0.024150601737346376,-0.28740177720424076
0.32,0.0027126385979375613,-0.02100332298761647,-0.016298090056124204,-0.0175390448531436,-0.28500481479620127
0.34,0.0022395974158441675,-0.026283421973861812,-0.016586404928193306,-0.011372800343269679,-0.2798974305522223
0.36,0.0016621363009663437,-0.03143868789161223,-0.016756399453807136,-0.005715298574112949,-0.27266194039692554
0.38,0.0009831157306343006,-0.036434389741698,-0.01681866459653256,-0.000604237275880614,-0.2638137868755321
0.4,0.0002059961095662317,-0.041245049897363904,-0.016784324727450374,0.003944040730340187,-0.25380246943707985
0.42,-0.000665334503460545,-0.045853173451135015,-0.01666465124905053,0.007930539453039669,-0.24301393962999054
0.44,-0.00162670785362702,-0.05024804072930464,-0.016470752468888194,0.01136999553839202,-0.23177409755994816
0.46,-0.00267379957890408,-0.05442458024310655,-0.016213331729703292,0.014287667279430932,-0.2203530735820548
0.48,-0.0038022316637192385,-0.058382333745906685,-0.015902505741656574,0.01671652407034763,-0.20897002490595337
0.5,-0.005007655176135649,-0.062124520332347694,-0.015547675216494337,0.01869482404968148,-0.19779821983120047
0.52,-0.006285815305376316,-0.06565720258791542,-0.015157440224371915,0.020264060451802048,-0.1869702221708617
0.54,-0.007632600743629126,-0.06898855460772298,-0.014739553139132878,0.021467251947934373,-0.17658302472442397
0.56,-0.009044079426152462,-0.07212822917883348,-0.014300902570150044,0.022347548726412963,-0.1667030132463532
0.58,-0.010516522569329197,-0.07508681948688534,-0.013847522266928975,0.02294712397222128,-0.15737067117450249
0.6,-0.012046418838566653,-0.07787540929138109,-0.013384619600210165,0.02330631951208649,-0.1486049604886112
0.62,-0.013630480346434977,-0.08050520454326515,-0.012916618848653822,0.02346301446825289,-0.1404073356006959
0.64,-0.015265642034404127,-0.08298723882545424,-0.012447215136005713,0.023452186608582833,-0.13276536533505667
0.66,-0.016949055835893623,-0.08533214471846653,-0.011979435456410812,0.02330563751259386,-0.12565595307842245
0.68,-0.018678080859788546,-0.08754998317110048,-0.011515703785128756,0.023051854534753505,-0.11904815734155175
0.7000000000000001,-0.0204502706766914,-0.08965012313770858,-0.011057907791110114,0.02271598470198828,-0.11290562455931656
0.72,-0.022263358638570634,-0.09164116408222357,-0.010607465142021301,0.022319898016830583,-0.10718865325918442
0.74,-0.02411524201885365,-0.09353089440368334,-0.010165387818770289,0.021882320055175795,-0.1018559140372366
0.76,-0.026003965626350562,-0.09532627937311496,-0.009732343234531829,0.02141901617024375,-0.09686585337579924
0.78,-0.027927705423985816,-0.0970334727571415,-0.009308711283243109,0.020943011980054237,-0.0921778114820725
0.8,-0.029884752572905668,-0.09865784691440421,-0.008894636726176422,0.020464837076824546,-0.08775288526911548
0.8200000000000001,-0.03187349822441224,-0.10020403676626363,-0.00849007656495801,0.019992781017980164,-0.08355456756470415
0.84,-0.0338924192962713,-0.1016759936468194,-0.008094842248348735,0.01953315261554547,-0.07954919282337171
0.86,-0.03594006539588188,-0.10307704561633024,-0.007708636721682921,0.01909053531834018,-0.07570621821310697
0.88,-0.03801504698999051,-0.10440996136714359,-0.007331086455751843,0.01866803307210129,-0.07199836710899665
0.9,-0.040116024868331025,-0.10567701535559555,-0.006961768689879484,0.018267502445098015,-0.0684016598879704
0.92,-0.042241700905911186,-0.10688005225275574,-0.006600234195705422,0.017889768024725614,-0.06489535459742797
0.9400000000000001,-0.04439081009472691,-0.108020549219122,-0.006246025917383278,0.017534819131542582,-0.06146181766224633
0.96,-0.046562113789510834,-0.10909967487282195,-0.00589869387396129,0.017201986771720596,-0.0580863423780303
0.98,-0.04875439409276448,-0.11011834413828017,-0.005557806723841522,0.016890100469394348,-0.054756930576003233
1.0,-0.05096644929085684,-0.11107726843442624,-0.005222960392359757,0.016597625200700745,-0.05146405058482935
1.02,-0.053197090244516576,-0.11197700089088178,-0.004893784154349459,0.016322779105831173,-0.04820038249255121
1.04,-0.055445137632773894,-0.11281797647026472,-0.004569944546419867,0.016063632998803246,-0.044960559752509587
1.06,-0.05770941994856288,-0.1136005470282265,-0.004251147460668368,0.01581819294127541,-0.04174091439614634
1.08,-0.05998877214608806,-0.11432501146373655,-0.003937138744456926,0.015584467310418015,-0.03853923152082368
1.1,-0.06228203484407412,-0.11499164120415611,-0.003627703601237754,0.015360519884677418,-0.035354517313771004
1.12,-0.06458805399461594,-0.11560070133646254,-0.003322665056489329,0.01514451050733559,-0.032186783650492594
1.1400000000000001,-0.06690568093405817,-0.11615246774113973,-0.0030218817216629778,0.014934724877132531,-0.029036851260031554
1.16,-0.06923377273975999,-0.11664724061208794,-0.0027252450584752284,0.01472959496782244,-0.025906172570059716
1.18,-0.0715711928244072,-0.11708535475754889,-0.002432676316557425,0.014527711503182892,-0.02279667461948722
1.2,-0.07391681170744473,-0.11746718707634182,-0.0021441232898719914,0.014327829818374315,-0.019710621841469225
1.22,-0.07626950791099874,-0.11779316159323729,-0.0018595570117617571,0.014128870329257949,-0.016650498060943316
1.24,-0.07862816893516453,-0.11806375241934562,-0.0015789684852311344,0.013929914713903894,-0.013618906703594514
1.26,-0.08099169227462792,-0.11827948497996522,-0.001302365524179211,0.01373019878968319,-0.010618487963043929
1.28,-0.08335898644516947,-0.11844093582514768,-0.0010297697628455951,0.01352910294879558,-0.007651851506268822
1.3,-0.08572897199461368,-0.11854873130875378,-0.0007612138746531116,0.013326140897807837,-0.0047215232007252386
1.32,-0.08810058247819705,-0.11860354539121355,-0.0004967390278481219,0.013120947335039525,-0.001829904308233925
1.34,-0.09047276538312464,-0.11860609679055523,-0.00023639259372096587,0.012913265095096688,0.0010207584006619369
1.36,-0.09284448299127629,-0.11855714567632306,1.9773886420418446e-05,0.012702932193656908,0.0038283931124236106
1.3800000000000001,-0.09521471317262628,-0.11845749007236782,0.00027170647712562913,0.012489869118443343,0.0065911154428840895
1.4000000000000001,-0.09758245010498798,-0.11830796210761692,0.0005193503752525556,0.0122740666345126,0.00930723424827282
1.42,-0.09994670491822578,-0.11810942422912349,0.0007626511993832183,0.012055574303541245,0.0119752519984573
1.44,-0.10230650626313302,-0.11786276546915239,0.001001556057980031,0.011834489857508578,0.01459386081920471
1.46,-0.10466090080680393,-0.11756889783788163,0.0012360144143461623,0.011610949516634165,0.017161935189860363
1.48,-0.10700895365757758,-0.11722875289549974,0.0014659787678144539,0.01138511929909674,0.01967852216257139
1.5,-0.10934974872354877,-0.1168432785420162,0.0016914051711801308,0.011157187335301536,0.02214282985204842
1.52,-0.11168238900927124,-0.11641343604988005,0.0019122536043582568,0.010927357171581014,0.024554214833149263
1.54,-0.114005996855666,-0.115940197353387,0.0021284882237176507,0.010695842026486964,0.02691216897898008
1.56,-0.11631971412833247,-0.11542454259969384,0.002340077505634686,0.010462859946530971,0.02921630617588502
1.58,-0.11862270235948016,-0.11486745795887347,0.0025469943016243777,0.010228629796641821,0.03146634926436015
1.6,-0.12091414284858583,-0.11426993368465414,0.0027492158210297756,0.009993368013047697,0.03366211747689943
1.62,-0.12319323672666949,-0.11363296241310705,0.002946723555757918,0.009757286042114151,0.035803514575109836
1.6400000000000001,-0.12545920498879307,-0.11295753768339474,0.0031395031600031874,0.00952058838727986,0.03789051782890175
1.6600000000000001,-0.12771128849904614,-0.11224465266259424,0.003327544296346954,0.00928347118708856,0.039923167929764726
1.68,-0.12994874797190947,-0.11149529905539814,0.003510840458105999,0.009046121249931071,0.04190155988756874
1.7,-0.1321708639334974,-0.11071046617901946,0.0036893887763520205,0.008808715475055087,0.043825834925326324
1.72,-0.13437693666578707,-0.1098911401837437,0.0038631898186633333,0.00857142059429918,0.04569617335824643
1.74,-0.13656628613655644,-0.109038303400156,0.0040322473854135735,0.00833439317453912,0.04751278842147509
1.76,-0.13873825191738234,-0.10815293379501265,0.004196568308260452,0.00809777982672986,0.0492759209944213
1.78,-0.14089219309170095,-0.1072360045189259,0.004356162254475589,0.007861717573461319,0.05098583515780886
1.8,-0.14302748815461033,-0.1062884835304057,0.004511041539854956,0.007626334332939694,0.05264281451187671
1.82,-0.14514353490579934,-0.10531133328228022,0.004661220952166175,0.007391749483116725,0.0542471591798388
1.84,-0.1472397503367239,-0.10430551045804129,0.004806717586419151,0.007158074475208139,0.05579918341921215
1.86,-0.1493155705129169,-0.10327196574718123,0.004947550692683477,0.006925413470991764,0.05729921376437151
1.8800000000000001,-0.15137045045211492,-0.10221164365006886,0.005083741536711867,0.006693863983002178,0.05874758762622908
1.9000000000000001,-0.15340386399870964,-0.10112548230432354,0.005215313273254714,0.006463517501010855,0.060144652278807734
1.92,-0.15541530369488463,-0.10001441332596692,0.005342290831657456,0.006234460091985786,0.061490764167322326
1.94,-0.15740428064867623,-0.09887936165984752,0.0054647008131105046,0.006006772964062707,0.0627862884778722
1.96,-0.1593703243990981,-0.09772124543493567,0.00558257139876167,0.005780532987945113,0.06403159891471007
1.98,-0.16131298277839087,-0.09654097582106883,0.005695932267794634,0.005555813171602219,0.06522707763706463
